Node-Id,Node-Title,inDegreeCentrality-3-Twitter JSON all,inDegreeCentrality-3-Twitter JSON all-unscaled,
"LAT: 37.80863, LON: -122.26801","Oakland, CA",0,1,
"LAT: 38.87328, LON: -77.00750","Washington, DC",4.110e-06,10,
"LAT: 38.89734, LON: -77.00985","Washington, DC",0,1,
"LAT: 38.91488, LON: -76.98410","Washington, DC",0,1,
"LAT: 29.99092, LON: -90.05770","New Orleans, LA",0,1,
"LAT: 34.15519, LON: -118.25815","California, USA",0,1,
"LAT: 42.33592, LON: -82.99607","Detroit, MI",0,1,
"LAT: 42.33170, LON: -83.04644","Detroit, MI",0,1,
"LAT: 42.33140, LON: -83.04580","Detroit, MI",1.233e-06,3,
"LAT: 42.88390, LON: -71.30850","Derry, NH",0,1,
"LAT: 38.89306, LON: -77.00417","Washington, DC",4.110e-06,10,
"LAT: 38.88510, LON: -77.00670","Washington, DC",0,1,
"LAT: 13.65139, LON: 144.85861",Guam,0,1,
"LAT: 38.88624, LON: -76.99626","Washington, DC",0,1,
"LAT: 38.90587, LON: -77.03664","Washington, DC",0,1,
"LAT: 38.94808, LON: -77.07942","Washington, DC",0,1,
"LAT: 38.95028, LON: -77.07972","Washington, DC",4.932e-06,12,
"LAT: 38.90284, LON: -77.02747",Bloomberg Government,0,1,
"LAT: 50.08841, LON: 14.42415","Prague, Czech Republic",0,1,
"LAT: 39.13200, LON: -77.22640","Gaithersburg, MD",0,2,
"LAT: 38.87468, LON: -77.04067","District of Columbia, USA",0,1,
"LAT: 38.91310, LON: -77.03240","Washington, DC",0,2,
"LAT: 48.86024, LON: 2.32596","Paris, France",0,1,
"LAT: 40.44580, LON: -80.01405","Pittsburgh, PA",0,2,
"LAT: 38.90118, LON: -77.05896","Washington, DC",0,1,
"LAT: 38.90689, LON: -77.02419","Washington, DC",0,1,
"LAT: 38.89350, LON: -77.01346","Washington, DC",0,1,
"LAT: 33.89405, LON: -78.85377","South Carolina, USA",0,1,
"LAT: 36.66330, LON: -79.59228","Virginia, USA",0,1,
"LAT: 34.91261, LON: -81.91051","Spartanburg, SC",0,1,
"LAT: 38.96049, LON: -77.00512","Washington, DC",0,1,
"LAT: 44.18194, LON: -71.39917","New Hampshire, USA",0,1,
"LAT: 44.25729, LON: -71.43920","New Hampshire, USA",0,1,
"LAT: 39.28979, LON: -76.61612","Baltimore, MD",0,1,
"LAT: 38.89845, LON: -77.00597","Washington, DC",0,1,
"LAT: 38.81065, LON: -77.63228","Haymarket, VA",0,1,
"LAT: 38.89275, LON: -77.01833",Canadian Embassy,0,1,
"LAT: 56.66667, LON: 22.03441","Nīgrande, Latvija",0,1,
"LAT: 40.00000, LON: -74.50000","New Jersey, USA",0,1,
"LAT: 45.50000, LON: -73.58330","Montréal, Québec",0,1,
"LAT: 18.45000, LON: -66.06670","San Juan, USA",0,2,
"LAT: 34.06919, LON: -118.40305","Beverly Hills, CA",0,1,
"LAT: 34.08157, LON: -118.41371","Beverly Hills, CA",0,1,
"LAT: 33.67846, LON: -117.86185","Costa Mesa, CA",0,1,
"LAT: 37.79275, LON: -122.39347","San Francisco, CA",0,1,
"LAT: 38.87720, LON: -77.02314","Washington, DC",0,1,
"LAT: -33.45000, LON: -70.66670","Santiago, Chile",0,2,
"LAT: -33.37035, LON: -71.29472","Casablanca, Chile",0,1,
"LAT: 38.88372, LON: -77.03025","Washington, DC",0,1,
"LAT: 34.15426, LON: -118.25697","California, USA",0,1,
"LAT: 40.72206, LON: -73.95755","Brooklyn, NY",0,1,
"LAT: -33.41404, LON: -70.64359","Recoleta, Chile",0,1,
"LAT: -33.41806, LON: -70.60167","Las Condes, Chile",0,1,
"LAT: -33.43230, LON: -70.63484","Providencia, Chile",0,1,
"LAT: -33.43253, LON: -70.63940","Recoleta, Chile",0,1,
"LAT: -33.43778, LON: -70.65028","Santiago, Chile",0,1,
"LAT: 4.64481, LON: -74.06378","Bogotá, D.C., Colombia",0,1,
"LAT: 4.60000, LON: -74.08330","Bogotá, D.C., Colombia",0,2,
"LAT: 8.96250, LON: -79.53944",Panama,0,1,
"LAT: 8.95057, LON: -79.55076",Panama,0,1,
"LAT: 36.12083, LON: -115.17222","Paradise, NV",0,1,
"LAT: 38.90630, LON: -77.02406","Washington, DC",0,2,
"LAT: 38.80431, LON: -76.99325","Oxon Hill, MD",0,1,
"LAT: 38.89294, LON: -77.04770","Washington, DC",0,1,
"LAT: 13.69485, LON: -89.24166","Aguilares, El Salvador",0,2,
"LAT: 13.93333, LON: -89.03333","Suchitoto, El Salvador",0,1,
"LAT: 13.46667, LON: -89.08333","San Luis Talpa, El Salvador",0,1,
"LAT: 14.07529, LON: -87.21261",Honduras,0,1,
"LAT: 36.17500, LON: -115.13600","Las Vegas, NV",0,1,
"LAT: 5.32513, LON: -26.60263","LAT: 5.32513, LON: -26.60263",0,1,
"LAT: 38.91552, LON: -77.01261","Washington, DC",0,1,
"LAT: 39.29030, LON: -76.61250","Baltimore, MD",2.055e-06,5,
"LAT: 40.75558, LON: -73.98817","Manhattan, NY",0,1,
"LAT: 18.32780, LON: -65.65280","Fajardo, Puerto Rico",0,1,
"LAT: 40.70306, LON: -74.02611","New Jersey, USA",0,1,
"LAT: 51.23330, LON: 6.78330","Düsseldorf, Germany",0,1,
"LAT: 38.85259, LON: -77.04252","Arlington, VA",3.288e-06,8,
"LAT: 37.86878, LON: -122.25943","Berkeley, CA",0,1,
"LAT: 35.50786, LON: -98.42953","Oklahoma, USA",0,1,
"LAT: 38.89511, LON: -77.03667","Washington, DC",1.644e-06,4,
"LAT: 34.15420, LON: -118.25847","California, USA",0,1,
"LAT: 26.44110, LON: -80.14058","Kings Point, FL",0,2,
"LAT: 33.79906, LON: -117.91858","Anaheim, CA",2.055e-06,5,
"LAT: 40.65465, LON: -74.69718","New Jersey, USA",0,1,
"LAT: 38.90385, LON: -77.02485","Washington, DC",0,1,
"LAT: 38.83118, LON: -77.18851","Annandale, VA",0,1,
"LAT: 27.91797, LON: -82.50123","Tampa, FL",0,1,
"LAT: 38.90975, LON: -77.02374","Washington, DC",0,1,
"LAT: 38.89931, LON: -77.02708","Washington, DC",0,1,
"LAT: 38.92435, LON: -77.22365","Tysons Corner, VA",0,1,
"LAT: 24.66704, LON: -81.53949","Florida, USA",0,2,
"LAT: 32.74552, LON: -80.04005","South Carolina, USA",0,1,
"LAT: 28.38842, LON: -80.71412","Merritt Island, FL",0,1,
"LAT: 26.19323, LON: -80.14686","Fort Lauderdale, FL",0,1,
"LAT: 38.89535, LON: -77.00940","Washington, DC",0,2,
"LAT: 42.91194, LON: 143.05083","Memuro-cho, Hokkaido",0,1,
"LAT: 34.15420, LON: -118.25844","California, USA",0,1,
"LAT: 37.91449, LON: -78.94335","Virginia, USA",0,1,
"LAT: 29.65508, LON: -95.46386","Houston, TX",0,1,
"LAT: 38.89684, LON: -77.03660","Washington, DC",1.439e-05,35,
"LAT: 38.89950, LON: -77.03660","Washington, DC",1.233e-06,3,
"LAT: 38.89580, LON: -77.03070","Washington, DC",0,1,
"LAT: 44.98167, LON: -93.27773","Minneapolis, MN",0,1,
"LAT: 44.98053, LON: -93.17305","Falcon Heights, MN",0,1,
"LAT: 38.03757, LON: -78.85640","Virginia, USA",0,1,
"LAT: 38.06931, LON: -78.70078","Crozet, VA",0,1,
"LAT: 38.96965, LON: -77.38611","Herndon, VA",0,1,
"LAT: 35.54815, LON: -78.46941","North Carolina, USA",0,1,
"LAT: 55.34333, LON: -131.59917","Alaska, USA",0,1,
"LAT: 34.15420, LON: -118.25842","California, USA",0,2,
"LAT: 38.90285, LON: -77.03020","Washington, DC",0,1,
"LAT: 38.88979, LON: -76.97195","Washington, DC",1.233e-06,3,
"LAT: 38.88968, LON: -76.97209","Washington, DC",0,1,
"LAT: 38.88967, LON: -76.97213","Washington, DC",0,1,
"LAT: 38.88981, LON: -76.97193","Washington, DC",0,1,
"LAT: 38.88977, LON: -76.97196","Washington, DC",0,1,
"LAT: 38.88969, LON: -76.97210","Washington, DC",0,1,
"LAT: 38.88981, LON: -76.97194","Washington, DC",0,1,
"LAT: 38.88982, LON: -76.97219","Washington, DC",0,1,
"LAT: 38.88973, LON: -76.97203","Washington, DC",0,1,
"LAT: 38.88969, LON: -76.97209","Washington, DC",0,1,
"LAT: 38.88974, LON: -76.97203","Washington, DC",0,1,
"LAT: 33.20426, LON: -87.53476","Tuscaloosa, AL",0,1,
"LAT: 41.91768, LON: -87.67998","Chicago, IL",0,1,
"LAT: 38.89867, LON: -77.01958","Washington, DC",0,1,
"LAT: 38.89865, LON: -77.01991","Washington, DC",0,1,
"LAT: 29.66307, LON: -95.56404","Houston, TX",0,1,
"LAT: 29.66100, LON: -95.71081","Pecan Grove, TX",0,1,
"LAT: 29.74196, LON: -95.15770","Texas, USA",0,1,
"LAT: 29.98640, LON: -95.77138","Texas, USA",0,1,
"LAT: 29.55757, LON: -95.55625","Missouri City, TX",0,1,
"LAT: 29.99008, LON: -95.75917","Texas, USA",0,1,
"LAT: 29.12363, LON: -95.24706","Texas, USA",0,1,
"LAT: 29.04011, LON: -95.30064","Texas, USA",0,1,
"LAT: 39.60981, LON: -74.20574","North Beach Haven, NJ",0,1,
"LAT: 40.59313, LON: -105.06863","Fort Collins, CO",0,1,
"LAT: 40.58965, LON: -105.04562","Fort Collins, CO",0,2,
"LAT: 40.58914, LON: -105.06318","Fort Collins, CO",0,1,
"LAT: 40.53972, LON: -105.19639","Colorado, USA",0,2,
"LAT: 39.85510, LON: -104.67374","Colorado, USA",0,1,
"LAT: 38.80522, LON: -77.04296","Alexandria, VA",0,1,
"LAT: 38.90282, LON: -77.03096","Washington, DC",0,1,
"LAT: 37.25088, LON: -93.37358","Missouri, USA",0,1,
"LAT: 34.15420, LON: -118.25838","California, USA",0,1,
"LAT: 34.15420, LON: -118.25841","California, USA",0,2,
"LAT: 39.02270, LON: -77.18640","Potomac, MD",0,1,
"LAT: 38.87616, LON: -77.02219","Washington, DC",0,1,
"LAT: 38.87221, LON: -77.00756","Washington, DC",0,1,
"LAT: 38.03360, LON: -78.50758","Charlottesville, VA",0,1,
"LAT: 38.89291, LON: -77.02005","Washington, DC",0,1,
"LAT: 38.91473, LON: -77.03212","Washington, DC",0,1,
"LAT: 38.03574, LON: -78.50370","Charlottesville, VA",0,1,
"LAT: 38.02953, LON: -78.47911","Charlottesville, VA",0,1,
"LAT: 40.71360, LON: -74.00964","Manhattan, NY",0,1,
"LAT: 40.82954, LON: -73.92645","Bronx, NY",0,1,
"LAT: 40.75063, LON: -73.99307","Manhattan, NY",0,1,
"LAT: 39.74373, LON: -104.99034","Denver, CO",0,1,
"LAT: 39.73920, LON: -104.98400","Denver, CO",0,1,
"LAT: 38.93249, LON: -76.99665","Washington, DC",0,1,
"LAT: 36.61190, LON: -121.94267","Del Monte Forest, CA",0,1,
"LAT: 36.53645, LON: -121.87863","California, USA",0,1,
"LAT: 37.77813, LON: -122.39081","San Francisco, CA",0,1,
"LAT: 34.14361, LON: -118.25596","California, USA",0,2,
"LAT: 34.15419, LON: -118.25842","California, USA",0,1,
"LAT: 41.89970, LON: -84.01765","Adrian, MI",0,1,
"LAT: 52.37993, LON: -7.29216","Kilkenny, Ireland",0,2,
"LAT: 41.47997, LON: -71.33732","Newport, RI",0,1,
"LAT: 41.91060, LON: -87.62639","Chicago, IL",0,1,
"LAT: 38.90250, LON: -77.01780","Washington, DC",0,1,
"LAT: 38.91512, LON: -77.01960","Washington, DC",0,1,
"LAT: 48.86137, LON: 2.33513","Paris, France",0,1,
"LAT: 41.90000, LON: 12.50000","Rome, Lazio",0,1,
"LAT: 38.92075, LON: -77.04195","Washington, DC",0,1,
"LAT: 40.71278, LON: -74.00594","Manhattan, NY",0,1,
"LAT: 38.90336, LON: -77.03927","Washington, DC",0,1,
"LAT: 38.95190, LON: -77.01960","Washington, DC",2.055e-06,5,
"LAT: 40.71249, LON: -73.96889","Brooklyn, NY",2.425e-05,59,
"LAT: 27.78535, LON: -82.78155","Madeira Beach, FL",0,1,
"LAT: 27.98016, LON: -82.81875","Clearwater, FL",1.233e-06,3,
"LAT: 27.97729, LON: -82.82829","Clearwater, FL",0,1,
"LAT: 27.81170, LON: -82.81150","Redington Beach, FL",1.644e-06,4,
"LAT: 28.03437, LON: -82.41888","Tampa, FL",0,1,
"LAT: 38.97593, LON: -77.07754","Chevy Chase Village, MD",2.466e-06,6,
"LAT: 32.68065, LON: -117.17852","Coronado, CA",0,1,
"LAT: 41.22770, LON: -111.96100","Ogden, UT",3.699e-06,9,
"LAT: 38.89278, LON: -77.00694","Washington, DC",2.466e-06,6,
"LAT: 38.87600, LON: -77.00774","Washington, DC",0,1,
"LAT: 38.90969, LON: -77.03504","Washington, DC",0,1,
"LAT: 40.75640, LON: -73.97562","Manhattan, NY",0,1,
"LAT: 38.90366, LON: -77.02160","Washington, DC",0,1,
"LAT: 38.90440, LON: -77.04920","Washington, DC",0,1,
"LAT: 38.89310, LON: -77.00530","Washington, DC",1.233e-06,3,
"LAT: 38.92073, LON: -77.04197","Washington, DC",0,1,
"LAT: 38.91226, LON: -77.06586","Washington, DC",0,1,
"LAT: 40.75480, LON: -73.98120","Manhattan, NY",0,1,
"LAT: 40.82639, LON: -73.68482","Port Washington, NY",0,1,
"LAT: 34.05220, LON: -118.24300","Los Angeles, CA",1.233e-06,3,
"LAT: 38.99600, LON: -77.17700","Potomac, MD",0,1,
"LAT: 38.58344, LON: -76.08076","Cambridge, MD",0,2,
"LAT: 38.90757, LON: -77.05642","Washington, DC",0,1,
"LAT: 38.94016, LON: -77.06074","Washington, DC",6.165e-06,15,
"LAT: 39.40000, LON: -76.60000","Towson, MD",2.466e-06,6,
"LAT: 39.37917, LON: -76.70500","Pikesville, MD",2.877e-06,7,
"LAT: 38.90496, LON: -77.03928","Washington, DC",2.877e-06,7,
"LAT: 38.91327, LON: -77.08293","Washington, DC",0,1,
"LAT: 38.90980, LON: -77.07556","Washington, DC",0,1,
"LAT: 40.81510, LON: -74.07478","East Rutherford, NJ",0,1,
"LAT: 63.88020, LON: -22.45052",Iceland,0,1,
"LAT: 40.68401, LON: -73.96890","Brooklyn, NY",0,1,
"LAT: 39.28315, LON: -76.59550","Baltimore, MD",0,1,
"LAT: 39.28397, LON: -76.62153","Baltimore, MD",1.233e-06,3,
"LAT: 34.09799, LON: -118.33866","Los Angeles, CA",0,2,
"LAT: 41.89067, LON: 12.49188","Rome, Lazio",0,1,
"LAT: 38.89026, LON: 1.22429","Sant Josep de sa Talaia, Spain",0,1,
"LAT: 40.72076, LON: -74.00076","Manhattan, NY",1.562e-05,38,
"LAT: 38.90182, LON: -77.03734","Washington, DC",1.233e-06,3,
"LAT: 38.96646, LON: -77.10220","Bethesda, MD",0,1,
"LAT: 38.94252, LON: -77.07757","Washington, DC",5.343e-06,13,
"LAT: 38.96940, LON: -77.07890","Chevy Chase Village, MD",0,2,
"LAT: 38.98470, LON: -77.11310","Bethesda, MD",2.466e-06,6,
"LAT: 39.12450, LON: -77.20802","Gaithersburg, MD",0,1,
"LAT: 41.25829, LON: -111.99144","Ogden, UT",0,1,
"LAT: 32.84300, LON: -83.61801","Macon, GA",0,1,
"LAT: 36.61580, LON: -121.83400","Seaside, CA",0,1,
"LAT: 26.33814, LON: -80.07134","Boca Raton, FL",0,2,
"LAT: 32.75148, LON: -97.08279","Arlington, TX",0,1,
"LAT: 41.39017, LON: -70.04828","Massachusetts, USA",0,2,
"LAT: 25.80515, LON: -80.12412","Miami Beach, FL",0,1,
"LAT: 39.27695, LON: -76.57274","Baltimore, MD",0,1,
"LAT: 38.91183, LON: -77.03118","Washington, DC",0,1,
"LAT: 48.85331, LON: 2.33708","Paris, France",0,1,
"LAT: 38.88944, LON: -77.05028","Washington, DC",1.644e-06,4,
"LAT: 38.94017, LON: -77.08103","Washington, DC",0,1,
"LAT: 38.90658, LON: -77.04332","Washington, DC",0,2,
"LAT: 38.94138, LON: -77.03161","Washington, DC",0,1,
"LAT: 38.91023, LON: -76.96754","Washington, DC",0,1,
"LAT: 40.76428, LON: -73.97403","Manhattan, NY",0,1,
"LAT: 38.91171, LON: -77.04337","Washington, DC",0,1,
"LAT: 38.91080, LON: -77.04371","Washington, DC",0,1,
"LAT: 47.50025, LON: 19.06558","Budapest, Hungary",0,1,
"LAT: 38.24421, LON: -77.49987","Virginia, USA",0,1,
"LAT: 41.38630, LON: -70.50317","Massachusetts, USA",0,1,
"LAT: 64.14423, LON: -21.91997",Iceland,1.233e-06,3,
"LAT: 64.12799, LON: -21.86657",Iceland,0,1,
"LAT: 63.93306, LON: -20.99694",Iceland,0,2,
"LAT: 64.25105, LON: -21.12941",Iceland,0,1,
"LAT: 64.17361, LON: -21.65083",Iceland,0,1,
"LAT: 63.99486, LON: -22.62376",Iceland,0,1,
"LAT: 38.94903, LON: -77.44766","Virginia, USA",2.877e-06,7,
"LAT: 38.88951, LON: -76.78697","Kettering, MD",0,1,
"LAT: 40.68917, LON: -74.04444","New York, NY",0,1,
"LAT: 31.13010, LON: -97.78030","Fort Hood, TX",0,1,
"LAT: 38.89840, LON: -77.11833","Arlington, VA",0,1,
"LAT: 34.06580, LON: -81.32900","South Carolina, USA",2.055e-06,5,
"LAT: 38.89000, LON: -77.02361","Washington, DC",2.877e-06,7,
"LAT: 22.08333, LON: -159.50000","Hawaii, USA",0,2,
"LAT: 21.87531, LON: -159.43979","Poipu, HI",0,1,
"LAT: 38.92212, LON: -77.04356","Washington, DC",0,1,
"LAT: 15.10139, LON: -90.31861",Guatemala,0,1,
"LAT: 38.89779, LON: -77.01752","Washington, DC",0,2,
"LAT: 42.34165, LON: -71.16762","Boston, MA",0,1,
"LAT: 38.90269, LON: -77.04945","Washington, DC",2.466e-06,6,
"LAT: 38.91536, LON: -77.03156","Washington, DC",0,1,
"LAT: 38.90498, LON: -77.05766","Washington, DC",0,2,
"LAT: 38.97779, LON: -76.49055","Annapolis, MD",0,1,
"LAT: 38.98955, LON: -77.20270","Potomac, MD",0,2,
"LAT: 41.26328, LON: -70.13127","Massachusetts, USA",0,1,
"LAT: 36.16406, LON: -86.77187","Nashville, TN",0,1,
"LAT: 36.18201, LON: -86.73561","Nashville, TN",0,1,
"LAT: 38.92434, LON: -77.06644","Washington, DC",0,1,
"LAT: 38.98820, LON: -76.35519","Maryland, USA",0,1,
"LAT: 38.96604, LON: -76.24143","Kent Narrows, MD",0,1,
"LAT: 38.89533, LON: -121.07027","Auburn, CA",0,1,
"LAT: 39.00000, LON: -76.70000","Crofton, MD",0,2,
"LAT: 45.67071, LON: -111.07428","Bozeman, MT",0,2,
"LAT: 41.39085, LON: -70.50302","Massachusetts, USA",1.233e-06,3,
"LAT: 41.45417, LON: -70.56250","Oak Bluffs, MA",0,1,
"LAT: 41.38889, LON: -70.51389","Edgartown, MA",1.233e-06,3,
"LAT: 41.45553, LON: -70.56000","Oak Bluffs, MA",0,1,
"LAT: 41.38944, LON: -70.51341","Edgartown, MA",0,1,
"LAT: 41.45435, LON: -70.60018","Vineyard Haven, MA",0,1,
"LAT: 40.67000, LON: -73.95837","Brooklyn, NY",0,1,
"LAT: 40.76415, LON: -73.98687","Manhattan, NY",0,1,
"LAT: 36.26875, LON: 44.10354",Iraq,0,1,
"LAT: 41.49610, LON: -81.68531","Cleveland, OH",0,1,
"LAT: -2.50000, LON: 28.75000",Democratic Republic of Congo,0,1,
"LAT: 39.04706, LON: -77.11558","North Bethesda, MD",0,1,
"LAT: 38.88972, LON: -77.01111","Washington, DC",1.644e-06,4,
"LAT: 38.89130, LON: -77.02300","Washington, DC",0,1,
"LAT: 40.70000, LON: -73.95000","Brooklyn, NY",0,1,
"LAT: 40.71420, LON: -74.00640","Manhattan, NY",2.466e-06,6,
"LAT: 40.72465, LON: -73.99326","Manhattan, NY",0,1,
"LAT: 33.94424, LON: -118.39760","Los Angeles, CA",0,1,
"LAT: 38.90785, LON: -76.86384","Summerfield, MD",1.233e-06,3,
"LAT: 38.88329, LON: -76.98909","Washington, DC",0,1,
"LAT: 38.94819, LON: -77.33857","Reston, VA",0,1,
"LAT: 38.93996, LON: -77.08071","Washington, DC",0,1,
"LAT: 38.93368, LON: -77.08472","Washington, DC",0,1,
"LAT: 48.21064, LON: 16.36800","Vienna, Austria",0,1,
"LAT: 48.19126, LON: 16.37980","Vienna, Austria",0,1,
"LAT: 47.47190, LON: 19.05030","Budapest, Hungary",0,1,
"LAT: 47.49611, LON: 19.03972","Budapest, Hungary",0,1,
"LAT: 33.85276, LON: -84.21476","Tucker, GA",0,1,
"LAT: 39.46177, LON: -77.16274","Maryland, USA",0,1,
"LAT: 39.05244, LON: -77.34754","Lowes Island, VA",0,1,
"LAT: 40.68102, LON: -73.95560","Brooklyn, NY",0,1,
"LAT: 40.76917, LON: -73.99000","Manhattan, NY",0,1,
"LAT: 41.68820, LON: -91.58680","Coralville, IA",0,1,
"LAT: 38.89280, LON: -77.01307","Washington, DC",0,2,
"LAT: 38.91498, LON: -76.84727","Lake Arbor, MD",0,1,
"LAT: 37.87365, LON: -122.25425","Berkeley, CA",0,1,
"LAT: 39.01000, LON: -77.07000","South Kensington, MD",0,1,
"LAT: 38.98097, LON: -77.09711","Bethesda, MD",0,1,
"LAT: 39.27806, LON: -76.62278","Baltimore, MD",0,1,
"LAT: 38.89720, LON: -77.03850","Washington, DC",0,1,
"LAT: 38.89757, LON: -77.03915","Washington, DC",0,1,
"LAT: 38.90194, LON: -77.03897","Washington, DC",0,1,
"LAT: 41.74980, LON: -88.15570","Naperville, IL",0,2,
"LAT: 3.79410, LON: -73.86304","San Luis de Cubarral, Colombia",0,1,
"LAT: 38.90533, LON: -77.04630","Washington, DC",0,1,
"LAT: 38.89000, LON: -77.00900","Washington, DC",1.233e-06,3,
"LAT: 38.88723, LON: -76.99601","Washington, DC",0,1,
"LAT: 38.80472, LON: -77.04722","Alexandria, VA",0,1,
"LAT: 38.90865, LON: -76.84052","Lake Arbor, MD",1.644e-06,4,
"LAT: 38.98750, LON: -76.94000","College Park, MD",0,2,
"LAT: 39.11280, LON: -76.55190","Pasadena, MD",0,1,
"LAT: 39.09985, LON: -76.85668","Laurel, MD",0,1,
"LAT: 38.90643, LON: -77.04106","Washington, DC",0,1,
"LAT: 38.95670, LON: -77.08284","Washington, DC",1.233e-06,3,
"LAT: 40.75850, LON: -73.98180","Manhattan, NY",0,2,
"LAT: 38.89947, LON: -77.03606","Washington, DC",0,1,
"LAT: 40.63389, LON: 14.60322","Amalfi, Campania",0,1,
"LAT: 40.63330, LON: 14.60000","Amalfi, Campania",0,1,
"LAT: 42.69029, LON: -71.18045","Massachusetts, USA",0,1,
"LAT: 38.90018, LON: -77.02780","Washington, DC",0,1,
"LAT: 38.89777, LON: -77.02748","Washington, DC",0,1,
"LAT: 38.89787, LON: -77.04925","Washington, DC",0,2,
"LAT: 41.23715, LON: -111.96189","Ogden, UT",0,1,
"LAT: 38.98472, LON: -76.50694","Annapolis, MD",0,1,
