Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all,attribute-Tweets-Sent-Count-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all-unscaled,kcore-1-Twitter JSON all,kcore-1-Twitter JSON all-unscaled,totalDegreeCentrality-1-Twitter JSON all,totalDegreeCentrality-1-Twitter JSON all-unscaled,twitter-actualInfluencer-1-Twitter JSON all,twitter-actualInfluencer-1-Twitter JSON all-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all,twitter-averageMentionsPerTweet-1-Twitter JSON all-unscaled,twitter-mostMentioned-1-Twitter JSON all,twitter-mostMentioned-1-Twitter JSON all-unscaled,twitter-numberOfFollowers-1-Twitter JSON all,twitter-numberOfFollowers-1-Twitter JSON all-unscaled,twitter-potentialConnectors-1-Twitter JSON all,twitter-potentialConnectors-1-Twitter JSON all-unscaled,twitter-potentialReach-1-Twitter JSON all,twitter-potentialReach-1-Twitter JSON all-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all,twitter-totalMentionsDegree-1-Twitter JSON all-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all,twitter-totalMentionsKcore-1-Twitter JSON all-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all-unscaled,twitter-trustedSource-1-Twitter JSON all,twitter-trustedSource-1-Twitter JSON all-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all,twitter-wantsToBeInfluencer-1-Twitter JSON all-unscaled,weakComponentMembers-5-Twitter JSON all,weakComponentMembers-3-Twitter JSON all,weakComponentMembers-4-Twitter JSON all,weakComponentMembers-2-Twitter JSON all,
259395895,JohnJHarwood,0,6379,7.180e-04,1870,0.008,18,4.389e-04,556,0.073,78784928,0.127,0.293,0.108,249,0.068,148933,6.075e-04,1367625472,1.076e-04,242210592,0.529,492,6.421e-04,4932,0.012,28,0.004,0.047,109,0.095,219,0.098,228,1,1,1,1,
474974313,bridgetbhc,0,352,5.337e-05,139,0.005,11,9.946e-05,126,0.005,5897177,0.171,0.395,0.028,65,0.002,4186,3.916e-05,88157072,8.091e-05,182164464,0.011,10,6.952e-05,534,0.009,22,0.001,0.008,19,0.025,59,0.009,21,1,1,1,1,
12354832,kasie,0,662,1.152e-04,300,0.008,18,1.768e-04,224,0.096,103543480,0.196,0.453,0.153,354,0.086,187077,2.803e-04,631172096,1.264e-04,284497248,0.087,81,2.635e-04,2024,0.012,28,0.006,0.022,52,0.130,301,0.022,51,1,1,1,1,
14007532,frankthorp,0,921,8.064e-05,210,0.008,18,1.673e-04,212,0.094,102186664,0.098,0.228,0.136,316,0.018,39723,1.409e-04,317305024,1.272e-04,286469440,0.190,177,2.972e-04,2283,0.012,28,0.008,0.023,54,0.119,276,0.006,13,1,1,1,1,
104914594,Phil_Mattingly,0,1791,3.187e-04,830,0.008,18,4.720e-04,598,0.160,173704320,0.200,0.463,0.135,313,0.018,40106,2.128e-04,479202560,1.734e-04,390302816,0.530,493,4.036e-04,3100,0.012,28,0.009,0.053,123,0.118,273,0.061,142,1,1,1,1,
250492272,igorbobic,0,1808,1.786e-04,465,0.008,18,2.289e-04,290,0.028,30883926,0.111,0.257,0.051,118,0.011,23845,1.416e-04,318751104,1.143e-04,257386144,0.149,139,1.914e-04,1470,0.012,28,0.002,0.022,52,0.043,100,0.051,117,1,1,1,1,
39155029,mkraju,0,956,1.217e-04,317,0.008,18,2.621e-04,332,0.133,144373600,0.143,0.332,0.137,318,0.041,88321,3.093e-04,696427392,1.488e-04,335038912,0.195,181,3.826e-04,2939,0.012,28,0.008,0.024,56,0.123,284,0.026,60,1,1,1,1,
1055956286,mtill50,0,719,4.301e-05,112,0.002,5,1.500e-05,19,0.001,1214993,0.067,0.156,0.006,13,9.204e-04,2003,1.987e-05,44735612,5.803e-05,130656896,0,0,2.617e-05,201,0.003,7,2.503e-04,0.003,6,0.005,11,0.014,33,1,1,1,1,
48144950,JudyWoodruff,0,193,1.382e-05,36,0.003,8,1.894e-05,24,0.025,27328296,0.081,0.187,0.043,99,0.030,64274,5.615e-05,126410800,9.055e-05,203863008,0,0,4.426e-05,340,0.012,27,0.001,0.005,11,0.026,60,0.001,3,1,1,1,1,
19914257,mviser,0,795,5.644e-05,147,0.006,15,7.657e-05,97,0.044,47188924,0.080,0.185,0.103,238,0.026,57667,9.386e-05,211308144,9.697e-05,218310016,0.020,19,1.591e-04,1222,0.012,28,0.003,0.010,24,0.095,220,0.019,43,1,1,1,1,
27882000,jamiedupree,0,2108,3.955e-05,103,0.006,13,2.526e-05,32,0.089,96145392,0.021,0.049,0.046,107,0.065,140819,1.073e-04,241609088,1.164e-04,262140240,0.010,9,8.423e-05,647,0.012,28,0.001,0.007,16,0.045,105,0.003,7,1,1,1,1,
7768402,ryanjreilly,0,838,8.524e-05,222,0.006,14,8.367e-05,106,0.009,9881891,0.114,0.265,0.038,87,0.040,87570,1.576e-04,354917440,5.741e-05,129252232,0.024,22,9.022e-05,693,0.011,25,8.598e-04,0.012,28,0.031,71,0.026,60,1,1,1,1,
123327472,peterbakernyt,1,764,1.152e-04,300,0.007,16,1.405e-04,178,0.118,127823000,0.170,0.393,0.126,292,0.045,96887,2.241e-04,504618368,1.444e-04,325075360,0.067,62,2.334e-04,1793,0.012,28,0.007,0.024,55,0.090,208,0.013,29,1,1,1,1,
115564212,IsaacDovere,0,1328,9.676e-05,252,0.008,18,1.373e-04,174,0.025,26676616,0.082,0.190,0.066,152,0.017,37455,1.241e-04,279400640,9.209e-05,207323984,0.134,125,1.354e-04,1040,0.012,28,0.002,0.019,44,0.056,130,0.022,52,1,1,1,1,
118245138,woodruffbets,0,776,5.990e-05,156,0.007,16,6.315e-05,80,0.020,21317470,0.087,0.201,0.048,112,0.026,55899,1.603e-04,360945280,9.126e-05,205455008,0.027,25,8.748e-05,672,0.012,28,0.001,0.010,23,0.039,91,0.015,35,1,1,1,1,
26607712,MattLaslo,0,1485,1.160e-04,302,0.008,18,7.657e-05,97,0.008,8618645,0.088,0.203,0.051,119,0.006,12541,6.958e-05,156660160,6.926e-05,155939328,0.076,71,1.001e-04,769,0.012,28,9.163e-04,0.018,42,0.042,97,0.028,65,1,1,1,1,
243337600,Emma_Dumain,0,1084,9.791e-05,255,0.007,17,7.262e-05,92,0.004,4134654,0.102,0.235,0.036,84,0.004,9408,5.503e-05,123892624,4.680e-05,105370176,0.051,47,9.074e-05,697,0.012,28,8.748e-04,0.017,39,0.027,62,0.035,80,1,1,1,1,
167024520,rachaelmbade,0,802,1.037e-04,270,0.008,18,1.958e-04,248,0.029,31834458,0.145,0.337,0.075,174,0.014,30154,1.648e-04,371049344,9.716e-05,218749312,0.090,84,1.798e-04,1381,0.012,28,0.004,0.019,43,0.059,136,0.024,56,1,1,1,1,
15146659,JSwiftTWS,0,2612,1.282e-04,334,0.007,16,6.710e-05,85,0.003,3589540,0.055,0.128,0.019,45,0.003,5692,5.110e-05,115057232,4.709e-05,106017384,0.022,20,8.358e-05,642,0.010,23,4.154e-04,0.013,29,0.008,19,0.030,69,1,1,1,1,
46557945,StevenTDennis,0,3073,2.911e-04,758,0.008,18,4.578e-04,580,0.080,86338336,0.107,0.247,0.132,305,0.026,55621,2.100e-04,472830016,1.270e-04,285981184,0.510,474,4.870e-04,3741,0.012,28,0.006,0.047,109,0.106,246,0.061,142,1,1,1,1,
407013776,burgessev,0,1675,2.504e-04,652,0.008,18,5.178e-04,656,0.126,136913520,0.168,0.389,0.126,291,0.014,30983,1.686e-04,379620288,1.559e-04,351036768,0.448,417,5.698e-04,4377,0.012,28,0.014,0.040,93,0.104,240,0.024,56,1,1,1,1,
1246438250,jimhoward529,0,145,1.152e-05,30,8.636e-04,2,3.947e-06,5,3.117e-05,33793,0.089,0.207,8.636e-04,2,3.952e-05,86,0,1204122.125,8.134e-06,18313862,0,0,5.988e-06,46,8.636e-04,2,8.620e-05,8.636e-04,2,4.318e-04,1,0.003,7,1,1,1,1,
19785811,dwallbank,0,337,3.648e-05,95,0.005,12,3.000e-05,38,0.002,2127230,0.122,0.282,0.021,49,0.002,4262,1.911e-05,43019392,5.404e-05,121666520,0.012,11,3.085e-05,237,0.009,20,5.143e-04,0.008,18,0.016,38,0.006,13,1,1,1,1,
14207809,brfreed,0,1275,3.648e-05,95,0.006,13,3.394e-05,43,0.003,3338186,0.032,0.075,0.024,55,0.003,6075,1.735e-05,39070992,6.916e-05,155709664,0.005,5,3.450e-05,265,0.009,21,7.659e-04,0.009,22,0.016,36,0.009,22,1,1,1,1,
3988150241,lanceingthing,0,428,4.608e-05,120,0.001,3,6.315e-06,8,1.040e-04,112707,0.121,0.280,0.003,6,1.383e-04,301,4.061e-06,9143322,1.321e-05,29744846,0,0,2.916e-05,224,0.002,5,2.145e-04,0.002,5,0.001,3,0.012,27,1,1,1,1,
322830431,JulieCareyNBC,0,185,5.760e-06,15,0.002,4,8.683e-06,11,0.004,4427111,0.035,0.081,0.022,50,0.004,8687,7.560e-06,17020844,6.923e-05,155854640,0,0,2.617e-05,201,0.006,15,0.001,0.003,7,0.018,41,0,0,1,1,1,1,
256563903,CaseyNBC,0,76,1.267e-05,33,0.002,4,6.315e-06,8,1.366e-04,148069,0.188,0.434,0.003,8,4.756e-04,1035,4.266e-06,9605498,1.321e-05,29733806,0,0,8.462e-06,65,0.002,5,2.515e-04,0.002,4,0.002,4,0.002,5,1,1,1,1,
85282028,clawrencenbc,0,33,1.536e-06,4,4.318e-04,1,0,1,3.330e-04,361001,0.052,0.121,0.003,7,0.003,7393,0,814088.188,2.793e-05,62887432,0,0,2.994e-06,23,0.002,5,1.985e-04,4.318e-04,1,0.002,4,0,0,1,1,1,1,
252681042,JimHandly,0,143,1.037e-05,27,4.318e-04,1,0,1,2.344e-04,254137,0.082,0.189,0.004,9,0.007,14150,1.618e-05,36417472,2.127e-05,47889672,0,0,9.113e-06,70,0.002,5,3.148e-04,4.318e-04,1,0.003,7,0.003,8,1,1,1,1,
568311929,CNNFieldSuper,0,138,1.267e-05,33,8.636e-04,2,2.368e-06,3,1.023e-04,110917,0.103,0.239,0.003,6,0.004,7897,3.588e-05,80777864,1.097e-05,24698022,0,0,1.159e-05,89,0.002,4,1.337e-04,8.636e-04,2,0.003,6,0.005,11,1,1,1,1,
52612881,David_Culver,0,198,2.726e-05,71,0.002,4,3.631e-05,46,0.003,3661229,0.155,0.359,0.008,18,0.002,4873,1.209e-05,27209328,6.091e-05,137124080,0,0,2.812e-05,216,0.003,7,0.001,0.004,9,0.004,9,0.004,10,1,1,1,1,
2375549899,RealLeonHarris,0,356,3.456e-06,9,4.318e-04,1,1.579e-06,2,0.001,1404562,0.011,0.025,0.009,22,0.002,4627,0,1272825.625,3.685e-05,82973032,0,0,1.341e-05,103,0.003,8,5.020e-04,4.318e-04,1,0.007,17,0.003,6,1,1,1,1,
84311498,nbcmatt,0,75,8.448e-06,22,0.002,4,8.683e-06,11,4.620e-04,500848,0.127,0.293,0.010,23,0.001,2257,6.476e-06,14579556,1.532e-05,34494332,0,0,1.393e-05,107,0.003,7,4.599e-04,0.002,4,0.010,23,0.004,9,1,1,1,1,
233933608,eunyangnbc,0,169,1.037e-05,27,0.002,4,1.973e-05,25,0.002,2009772,0.069,0.160,0.010,24,0.010,20873,1.668e-05,37552948,5.051e-05,113727248,0,0,1.627e-05,125,0.003,7,6.861e-04,0.003,8,0.006,15,0.002,5,1,1,1,1,
15219854,OhMyGOFF,0,1300,7.872e-05,205,0.002,4,5.210e-05,66,0.005,5545279,0.068,0.158,0.013,29,0.026,55931,1.756e-05,39542136,8.190e-05,184400816,0,0,4.635e-05,356,0.003,7,0.001,0.007,17,0.009,21,4.318e-04,1,1,1,1,1,
380355731,ricknbc,0,258,2.150e-05,56,0.002,4,4.263e-05,54,7.923e-04,858862,0.094,0.217,0.008,18,9.319e-04,2028,1.501e-05,33795864,2.822e-05,63525852,0,0,2.721e-05,209,0.003,7,8.599e-04,0.003,7,0.006,15,0.004,10,1,1,1,1,
1166242050,kwrightnbc4,0,211,1.152e-05,30,0.001,3,1.026e-05,13,4.060e-04,440158,0.061,0.142,0.007,16,0.002,4298,6.738e-06,15170498,1.339e-05,30150986,0,0,1.198e-05,92,0.003,7,3.574e-04,0.002,4,0.005,12,0.006,14,1,1,1,1,
429938737,nbcphotog35,0,71,3.840e-06,10,4.318e-04,1,1.579e-06,2,8.763e-05,94991,0.061,0.141,0.003,7,1.158e-04,252,0,1524528.125,8.248e-06,18568984,0,0,4.687e-06,36,0.002,5,2.421e-04,4.318e-04,1,0.003,7,0.002,5,1,1,1,1,
18947832,AnnieYuFox5,0,1750,4.416e-05,115,0.002,4,3.473e-05,44,0.002,2260607,0.028,0.066,0.011,25,0.007,14858,9.187e-06,20682760,3.338e-05,75140824,0.004,4,3.033e-05,233,0.003,7,0.001,0.005,11,0.005,12,0.003,7,1,1,1,1,
18227519,morningmika,0,111,7.296e-06,19,8.636e-04,2,2.368e-06,3,0.017,18758198,0.074,0.171,0.069,159,0.299,651742,1.786e-04,402066304,5.624e-05,126627488,0,0,4.283e-05,329,0.012,28,0.002,8.636e-04,2,0.008,18,8.636e-04,2,1,1,1,1,
15463671,samstein,0,884,5.836e-05,152,0.007,16,1.081e-04,137,0.060,64833840,0.074,0.172,0.095,220,0.144,313010,1.919e-04,432084288,1.058e-04,238107104,0.052,48,1.866e-04,1433,0.012,28,0.003,0.013,30,0.081,188,0.007,16,11,1,1,1,
22831423,NBCLOU,0,51,6.144e-06,16,0,0,0,0,6.201e-06,6722,0.135,0.314,4.318e-04,1,0.002,3361,2.386e-05,53720184,0,0,0,0,3.515e-06,27,0,0,7.896e-05,0,0,0,0,0.002,4,12,1,10,1,
94442794,DougNBC,0,153,1.498e-05,39,8.636e-04,2,3.157e-06,4,7.872e-04,853311,0.110,0.255,0.003,8,7.867e-04,1712,1.600e-05,36012408,4.219e-05,94982544,0,0,1.002e-05,77,0.003,6,1.420e-04,8.636e-04,2,0.003,7,0.004,9,1,1,1,1,
47991586,GarrettHaake,0,914,6.758e-05,176,0.007,16,8.209e-05,104,0.046,49439020,0.083,0.193,0.057,133,0.011,22869,1.104e-04,248652528,1.050e-04,236495968,0.027,25,1.035e-04,795,0.012,28,0.002,0.013,31,0.047,108,0.016,37,1,1,1,1,
325001316,KenDilanianNBC,0,823,6.681e-05,174,0.006,14,7.420e-05,94,0.071,77348864,0.091,0.211,0.063,146,0.019,41286,1.843e-04,414961344,1.189e-04,267657440,0.022,20,1.127e-04,866,0.012,28,0.002,0.013,29,0.051,117,0.016,37,1,1,1,1,
297532865,kwelkernbc,0,46,1.536e-06,4,0.001,3,2.368e-06,3,0.039,42797220,0.038,0.087,0.030,70,0.045,98605,1.740e-05,39177352,9.363e-05,210809280,0,0,1.940e-05,149,0.011,26,9.784e-04,0.001,3,0.008,19,0,0,13,1,1,1,
29220591,RealBrittHughes,0,395,4.992e-06,13,0,0,0,0,3.401e-05,36873,0.014,0.033,8.636e-04,2,0.001,2875,4.954e-06,11152634,0,5248,0,0,2.473e-06,19,0,0,1.461e-04,0,0,4.318e-04,1,4.318e-04,1,1,1,11,1,
17518097,tcapra,0,40,5.760e-06,15,0.001,3,3.947e-06,5,5.665e-04,614146,0.162,0.375,0.003,7,3.598e-04,783,0,1906516.125,4.986e-05,112244272,0,0,4.687e-06,36,0.002,5,1.381e-04,0.001,3,0.002,5,0.003,6,14,1,1,1,
120202126,scottwfoster,0,53,3.072e-06,8,0,0,0,0,4.679e-05,50719,0.065,0.151,0.003,6,0.001,3234,6.740e-06,15174930,8.478e-06,19086880,0,0,2.864e-06,22,0.002,4,1.504e-04,0,0,0.002,5,8.636e-04,2,15,1,12,1,
140863851,tomcostellonbc,0,92,3.072e-06,8,4.318e-04,1,0,1,0.004,4485904,0.038,0.087,0.008,19,0.007,15256,1.130e-05,25430704,6.920e-05,155806176,0,0,4.947e-06,38,0.003,8,2.906e-04,4.318e-04,1,0.003,6,8.636e-04,2,1,1,1,1,
2565691009,laubchad,0,44,2.304e-06,6,0,0,0,0,0,379,0.059,0.136,0,0,1.742e-04,379,0,401204.062,0,0,0,0,1.562e-06,12,0,0,7.896e-05,0,0,0,0,0.003,6,1,1,13,1,
216747924,shaqbrewster,0,185,1.690e-05,44,0.002,5,4.736e-06,6,0.002,2125188,0.103,0.238,0.003,8,0.002,4680,2.889e-05,65045592,7.017e-05,157986272,0.001,1,1.172e-05,90,0.003,6,1.202e-04,0.003,6,0,0,0.008,19,1,1,1,1,
