Attribute,Group,Count,Percent,
LOCATION,The White House+points afield,1,+0.04%,
LOCATION,The District,2,+0.09%,
LOCATION,D.C. Metro Area,2,+0.09%,
LOCATION,"Washington, DC via    & Miami.",1,+0.04%,
LOCATION,Washington dc,3,+0.13%,
LOCATION,NV → DC,1,+0.04%,
LOCATION,Washington(ish),1,+0.04%,
LOCATION,Washington D.C. and Jupiter Fl,1,+0.04%,
LOCATION,United States,9,+0.39%,
LOCATION,"Arlington, Virginia, USA",1,+0.04%,
LOCATION,"Arlington, Virginia",3,+0.13%,
LOCATION,"Jersey City, NJ",1,+0.04%,
LOCATION,"Alexandria, VA",5,+0.22%,
LOCATION,CLE-STL-ALX,1,+0.04%,
LOCATION,"Shaker Heights, OH",1,+0.04%,
LOCATION,Kristinawong@protonmail.com ,1,+0.04%,
LOCATION,Email: kwong@breitbart.com ,1,+0.04%,
LOCATION,"Adams Morgan, Washington",1,+0.04%,
LOCATION,"Brussels, Belgium",1,+0.04%,
LOCATION,Displaced New Yorker,1,+0.04%,
LOCATION,"Washington, D.C. ",15,+0.65%,
LOCATION,DC via The Mitten,1,+0.04%,
LOCATION,"Washington, D.C. area",2,+0.09%,
LOCATION,Blakesobczak at protonmail com,1,+0.04%,
LOCATION,Washington D.C,2,+0.09%,
LOCATION,"ÜT: 40.57206,-74.327759",1,+0.04%,
LOCATION,"Washington, D.C. / eenews.net",1,+0.04%,
LOCATION,D.C. via Baton Rouge,1,+0.04%,
LOCATION,The Matrix,1,+0.04%,
LOCATION,Washington DC region,1,+0.04%,
LOCATION,"Washington, D.C./Denver",1,+0.04%,
LOCATION,"Brooklyn, NY",11,+0.48%,
LOCATION,"San Jose, CA",1,+0.04%,
LOCATION,"Las Vegas, NV",1,+0.04%,
LOCATION,"Baltimore, MD",5,+0.22%,
LOCATION,"Washington, DC, USA",4,+0.17%,
LOCATION,"Durham, N.C.",1,+0.04%,
LOCATION,D.C.,9,+0.39%,
LOCATION,DC/Scenic Silver Spring,1,+0.04%,
LOCATION,Running between the wickets,1,+0.04%,
LOCATION,N 51°25' 0'' / W 0°12' 0'',1,+0.04%,
LOCATION,Maine/NoVa/WDW,1,+0.04%,
LOCATION,Instagram,1,+0.04%,
LOCATION,"Beast Belly, DC",1,+0.04%,
LOCATION,"Rome, Lazio",1,+0.04%,
LOCATION,District of Columbia ,1,+0.04%,
LOCATION,California ✈ Washington DC ,1,+0.04%,
LOCATION,DC (via the Granite State),1,+0.04%,
LOCATION,1111 North Capitol NE,1,+0.04%,
LOCATION,Washington.dc/clarke county.va,1,+0.04%,
LOCATION,"In and around Washington, D.C.",1,+0.04%,
LOCATION,"ÜT: 38.915848,-77.03604",1,+0.04%,
LOCATION,The Green Mountains,1,+0.04%,
LOCATION,"Bedford, NH / Washington, DC",1,+0.04%,
LOCATION,Pacing in Capitol (ARK - DC),1,+0.04%,
LOCATION,MSP,1,+0.04%,
LOCATION,Washington d.c.,1,+0.04%,
LOCATION,"Kansas City, MO",2,+0.09%,
LOCATION,DC via NJ/VA,1,+0.04%,
LOCATION,"Washington, dc",4,+0.17%,
LOCATION,Harlem,1,+0.04%,
LOCATION,"Washington, DC/ Marriotts",1,+0.04%,
LOCATION,"Brookland, Washington DC",1,+0.04%,
LOCATION,"Petworth, Washington DC",1,+0.04%,
LOCATION,Your Nation's Capitol,1,+0.04%,
LOCATION,"Chapel Hill, NC",1,+0.04%,
LOCATION,NYC/DC/on the road,1,+0.04%,
LOCATION,The trough of disillusionment.,1,+0.04%,
LOCATION,"San Francisco, CA",5,+0.22%,
LOCATION,"Silver Spring, Md.",1,+0.04%,
LOCATION,"Boston, MA",2,+0.09%,
LOCATION,Los Angeles,2,+0.09%,
LOCATION,"Seattle, WA",4,+0.17%,
LOCATION,"Washington DC, N.E.",1,+0.04%,
LOCATION,Washington D.C. ,5,+0.22%,
LOCATION,"DC right now, Upstate New York forever",1,+0.04%,
LOCATION,"Washington, DC/Northern VA",1,+0.04%,
LOCATION,NYC / DC,1,+0.04%,
LOCATION,Maryland,5,+0.22%,
LOCATION,"In D.C., homesick for L.A.",1,+0.04%,
LOCATION,"In D.C., native of L.A.",1,+0.04%,
LOCATION,The luminiferous aether,1,+0.04%,
LOCATION,"Washington, DC, U.S.A. ",1,+0.04%,
LOCATION,"Washington D.C., mostly",1,+0.04%,
LOCATION,The Wing,1,+0.04%,
LOCATION,"New York, Washington",1,+0.04%,
LOCATION,"Salisbury, MD",1,+0.04%,
LOCATION,"Annandale, VA; Washington, DC",1,+0.04%,
LOCATION,"Arlington, Va",1,+0.04%,
LOCATION,"Vienna, VA",1,+0.04%,
LOCATION,NE DC,1,+0.04%,
LOCATION,"Washington, DC area",2,+0.09%,
LOCATION,"District of Columbia, USA",7,+0.31%,
LOCATION,Arlington VA,1,+0.04%,
LOCATION,"Washington, D.C. metro area",1,+0.04%,
LOCATION,"Chicago, IL",5,+0.22%,
LOCATION,"Alexandria, Va.",1,+0.04%,
LOCATION,NW DC,1,+0.04%,
LOCATION,"Washington, DC/Oakton, VA",1,+0.04%,
LOCATION,Washington/Princeton,1,+0.04%,
LOCATION,South Asia,1,+0.04%,
LOCATION,OC—Bay—Chicago—DC,1,+0.04%,
LOCATION,Baltimore,1,+0.04%,
LOCATION,"Puerto Rico, USA",1,+0.04%,
LOCATION,"D.C., via Karachi & New Haven.",1,+0.04%,
LOCATION,"ÜT: 51.469447,-0.450387",1,+0.04%,
LOCATION,Capitol Hill,1,+0.04%,
LOCATION,"Washington, D.C.  ",1,+0.04%,
LOCATION,"Washington, DC Metro",1,+0.04%,
LOCATION,"Washington, D.C",2,+0.09%,
LOCATION,"Bethesda, Maryland",1,+0.04%,
LOCATION,"Berlin, Germany",2,+0.09%,
LOCATION,Topside.,1,+0.04%,
LOCATION,"38.90238,-77.053065",1,+0.04%,
LOCATION,"Bethesda, MD",1,+0.04%,
LOCATION,USA ,1,+0.04%,
LOCATION,"Your radio, every day",1,+0.04%,
LOCATION,Dc ,1,+0.04%,
LOCATION,Depends on the Day,1,+0.04%,
LOCATION,"505, 202",1,+0.04%,
LOCATION,Northern Virginia,3,+0.13%,
LOCATION,NYC,2,+0.09%,
LOCATION,Washington | New York,1,+0.04%,
LOCATION,Silver Spring MD,1,+0.04%,
LOCATION,"ÜT: 38.900076,-77.008962",1,+0.04%,
LOCATION,"San Francisco, Calif. --",1,+0.04%,
LOCATION,Laurenmorello@protonmail.com,1,+0.04%,
LOCATION,"Dublin City, Ireland",1,+0.04%,
LOCATION,ABC News Pentagon,1,+0.04%,
LOCATION,"Washington via Tennessee, UNC, and Boston",1,+0.04%,
LOCATION,"#Washington, #DC",1,+0.04%,
LOCATION,New York,5,+0.22%,
LOCATION,Dherszenhorn@politico.eu,1,+0.04%,
LOCATION,"New York, New York",3,+0.13%,
LOCATION,Based in Annapolis & Covers DC,1,+0.04%,
LOCATION,"Washington, DC / nomad",1,+0.04%,
LOCATION,"Savannah, GA",1,+0.04%,
LOCATION,"Bengaluru, India",1,+0.04%,
LOCATION,"Washington, D.C. via Drogheda",1,+0.04%,
LOCATION,The Island of Manhattan,1,+0.04%,
LOCATION,UK,1,+0.04%,
LOCATION,D.C. or ✈️,1,+0.04%,
LOCATION,Breanna.edwards@theroot.com,1,+0.04%,
LOCATION,Washington ,2,+0.09%,
LOCATION,"Washington, DC via PA & OH",1,+0.04%,
LOCATION,Chicago West,1,+0.04%,
LOCATION,"Washington, DC, & Atlanta, GA",1,+0.04%,
LOCATION,"ÜT: 38.892696,-77.044914",1,+0.04%,
LOCATION,Ny/la/rva,1,+0.04%,
LOCATION,"Washington DC, Pale Blue Dot",1,+0.04%,
LOCATION,US,1,+0.04%,
LOCATION,"USA TODAY, McLean, VA",1,+0.04%,
LOCATION,"Annapolis, MD",2,+0.09%,
LOCATION,NPR News,1,+0.04%,
LOCATION,"Brookland, Washington, DC",1,+0.04%,
LOCATION,"Washington,D.C.",1,+0.04%,
LOCATION,Voice of America,2,+0.09%,
LOCATION,"ÜT: 38.879163,-77.015666",1,+0.04%,
LOCATION,"ÜT: 38.900063,-77.008976",1,+0.04%,
LOCATION,"DuPont Circle, Washington, DC",1,+0.04%,
LOCATION,Washington DC or thereabouts,1,+0.04%,
LOCATION,"Atlanta, GA",4,+0.17%,
LOCATION,"Washington, DC, and on your radio",1,+0.04%,
LOCATION,#RiseUp,1,+0.04%,
LOCATION,The nation's capital,1,+0.04%,
LOCATION,"D.C., No.Va.",1,+0.04%,
LOCATION,"Annandale, VA",1,+0.04%,
LOCATION,Rhode Island,1,+0.04%,
LOCATION,"Takoma Park, MD",1,+0.04%,
LOCATION,"Washington, D.C., and around.",1,+0.04%,
LOCATION,Washington D.C. USA,1,+0.04%,
LOCATION,"Washington, DC / Indianapolis",1,+0.04%,
LOCATION,Kstewart@wtop.com,1,+0.04%,
LOCATION,D.C./Northern VA/Maryland,1,+0.04%,
LOCATION,"Maryland, USA",3,+0.13%,
LOCATION,DC/Chapel Hill/Berlin,1,+0.04%,
LOCATION,Virginia,2,+0.09%,
LOCATION,"Charlotte, NC",1,+0.04%,
LOCATION,"London, England",4,+0.17%,
LOCATION,Your basement,1,+0.04%,
LOCATION,"Potomac, MD",1,+0.04%,
LOCATION,"DC, MD, VA",1,+0.04%,
LOCATION,"West Hartford, CT",1,+0.04%,
LOCATION,"Fort Myers, FL",1,+0.04%,
LOCATION,"Fairfax County, Virginia",1,+0.04%,
LOCATION,"Fredericksburg, VA",1,+0.04%,
LOCATION,"Philadelphia, PA",4,+0.17%,
LOCATION,"Rockville, Maryland USA",1,+0.04%,
LOCATION,Fox News Radio,1,+0.04%,
LOCATION,"United Nations, NYC",1,+0.04%,
LOCATION,"Wimberley, Texas",1,+0.04%,
LOCATION,"Virginia, USA",1,+0.04%,
LOCATION,On the leading edge of life,1,+0.04%,
LOCATION,RTs & links ≠ endorsements,1,+0.04%,
LOCATION,"DC, MD",1,+0.04%,
LOCATION,"Manhattan, NY",2,+0.09%,
LOCATION,"Derwood, MD",1,+0.04%,
LOCATION,"Columbia, MD",1,+0.04%,
LOCATION,"ABC7 News Washington, DC",1,+0.04%,
LOCATION,Washington DC metro,1,+0.04%,
LOCATION,"Mostly DC, sometimes CA",1,+0.04%,
LOCATION,HR - MGQ - LHR - DC.,1,+0.04%,
LOCATION,"Orlando, FL",1,+0.04%,
LOCATION,"Columbus, Ohio",1,+0.04%,
LOCATION,"Mclean, VA",1,+0.04%,
LOCATION,"Washington, DC and airports",1,+0.04%,
LOCATION,"Sacramento, CA",1,+0.04%,
LOCATION,London,3,+0.13%,
LOCATION,N.J.,1,+0.04%,
LOCATION,"Washington DC, America",1,+0.04%,
LOCATION,"Denver, CO",3,+0.13%,
LOCATION,"Frederick, MD",1,+0.04%,
LOCATION,"ÜT: 39.149989,-77.154816",1,+0.04%,
LOCATION,"Palomina Farm, Orange, VA",1,+0.04%,
LOCATION,Inside the beltway,1,+0.04%,
LOCATION,"Bowie, MD",1,+0.04%,
LOCATION,"Casper, WY",1,+0.04%,
LOCATION,"Portland, OR",2,+0.09%,
LOCATION,Global,1,+0.04%,
LOCATION,Redacted,1,+0.04%,
LOCATION,"New York, USA",5,+0.22%,
LOCATION,"Georgia, USA",1,+0.04%,
LOCATION,Above my feet,1,+0.04%,
LOCATION,"Washington DC, Atlanta GA",1,+0.04%,
LOCATION,"Houston, TX",1,+0.04%,
LOCATION,"Washington, DC.",1,+0.04%,
LOCATION,"Bozeman, MT",1,+0.04%,
LOCATION,NYC | Former DC & Miami,1,+0.04%,
LOCATION,"CNN, Washington, DC",1,+0.04%,
LOCATION,TX → DC,1,+0.04%,
LOCATION,Here for now,1,+0.04%,
LOCATION,Al Jazeera English,1,+0.04%,
LOCATION,Lebanon,1,+0.04%,
LOCATION,USA,3,+0.13%,
LOCATION,"United Nations, New York",1,+0.04%,
LOCATION,Here and There,1,+0.04%,
LOCATION,New York ,1,+0.04%,
LOCATION,"ÜT: 38.922219,-77.031428",1,+0.04%,
LOCATION,Dc,1,+0.04%,
LOCATION,"ÜT: 38.895844,-77.007033",1,+0.04%,
LOCATION,"Delhi, India",1,+0.04%,
LOCATION,Location: DC,1,+0.04%,
LOCATION,U.S.,1,+0.04%,
LOCATION,"Kensington, MD",1,+0.04%,
LOCATION,Sometimes Washington D.C,1,+0.04%,
LOCATION,Boston,1,+0.04%,
LOCATION,"Columbus, OH",1,+0.04%,
LOCATION,"Maryland/Washington, DC",1,+0.04%,
LOCATION,New york city,1,+0.04%,
LOCATION,Montréal Canada.,1,+0.04%,
LOCATION,"Fairfax Station, Va",1,+0.04%,
LOCATION,"Silver Spring, MD",1,+0.04%,
LOCATION,Where the news takes me,1,+0.04%,
LOCATION,"Washington, DC/Brooklyn, NY",1,+0.04%,
LOCATION,"Palo Alto, CA",1,+0.04%,
LOCATION,"Anywhere, USA",1,+0.04%,
LOCATION,"Washington, D.C./Maryland",1,+0.04%,
LOCATION,"North Beach, MD",1,+0.04%,
LOCATION,"Washington DC, Chicago, ROME",1,+0.04%,
LOCATION,"Denver, Colorado",1,+0.04%,
LOCATION,"DC Based, Effective World Wide",1,+0.04%,
LOCATION,"Washington DC, USA ",1,+0.04%,
LOCATION,NJ-NY,1,+0.04%,
LOCATION,@GarneyG,1,+0.04%,
LOCATION,"East Dover, VT",1,+0.04%,
LOCATION,"C-SPAN - Washington, DC",1,+0.04%,
LOCATION,"Martinsburg, WV",1,+0.04%,
LOCATION,"Miami, FL",1,+0.04%,
LOCATION,"Washington, DC | #CapitalCity",1,+0.04%,
LOCATION,"Washington, USA",1,+0.04%,
LOCATION,"London, United Kingdom",1,+0.04%,
LOCATION,The District of Columbia,1,+0.04%,
LOCATION,Wash DC,2,+0.09%,
LOCATION,"Moscow, Russia",1,+0.04%,
LOCATION,"ÜT: 38.985841,-77.471224",1,+0.04%,
LOCATION,"Milwaukee, WI",1,+0.04%,
LOCATION,"San Antonio, TX",1,+0.04%,
LOCATION,"Fairfax, VA",1,+0.04%,
LOCATION,Now in D.C.,1,+0.04%,
LOCATION,PA,1,+0.04%,
LOCATION,"Raleigh, NC",1,+0.04%,
LOCATION,"Washington Bureau, Newsday",1,+0.04%,
LOCATION,DMV,1,+0.04%,
LOCATION,"Shady Side, Md.",1,+0.04%,
LOCATION,"WH Beat, Washington, DC",1,+0.04%,
LOCATION,"Madison, WI",1,+0.04%,
LOCATION,New York metro area,1,+0.04%,
LOCATION,"Austin, Texas & San Diego",1,+0.04%,
LOCATION,"ÜT: 38.81626,-77.078307",1,+0.04%,
LOCATION,"ÜT: 17.536681,-99.495555",1,+0.04%,
LOCATION,"Memphis, TN",1,+0.04%,
LOCATION,"Washington, D.C. / Tampa Bay",1,+0.04%,
LOCATION,"Bowling Green, KY",1,+0.04%,
LOCATION,Earth ,1,+0.04%,
LOCATION,"London, UK",1,+0.04%,
LOCATION,Capitol Hill ,1,+0.04%,
LOCATION,Irishman in Washington,1,+0.04%,
LOCATION,DC/Baltimore,1,+0.04%,
LOCATION,"Charlottesville, VA",1,+0.04%,
LOCATION,"ÜT: 49.279186,-123.035336",1,+0.04%,
LOCATION,"    Washington, D.C.",1,+0.04%,
LOCATION,McLean Va./Silver Spring Md.,1,+0.04%,
LOCATION,"Greater Washington, DC area",1,+0.04%,
LOCATION,Beijing,1,+0.04%,
LOCATION,Singapore,1,+0.04%,
LOCATION,"D.C., personal views",1,+0.04%,
LOCATION,Washington - Paris,1,+0.04%,
LOCATION,DC Metro,1,+0.04%,
LOCATION,"Washington,D.C. ",1,+0.04%,
LOCATION,"Seoul, Republic of Korea",1,+0.04%,
LOCATION,Shanghai,1,+0.04%,
LOCATION,"College Park, Baltimore, DC",1,+0.04%,
LOCATION,Victoria.stmartin@nd.edu,1,+0.04%,
LOCATION,Reuters Washington bureau,1,+0.04%,
LOCATION,Beirut,1,+0.04%,
LOCATION,Washington. DC,1,+0.04%,
LOCATION,"Cambridge, MA",1,+0.04%,
LOCATION,"Outside Washington, D.C.",1,+0.04%,
LOCATION,"McLean, VA",1,+0.04%,
LOCATION,Somewhere in the Middle East,1,+0.04%,
LOCATION,"Montevideo, Uruguay",1,+0.04%,
LOCATION,"Paris, Ile-de-France",1,+0.04%,
LOCATION,DC ,1,+0.04%,
LOCATION,YWG to DCA,1,+0.04%,
LOCATION,DC. ,1,+0.04%,
LOCATION,"Sydney, New South Wales",1,+0.04%,
LOCATION,Kaboul,1,+0.04%,
LOCATION,"ÜT: 39.054624,-77.087734",1,+0.04%,
LOCATION,"Laguna Hills, CA",1,+0.04%,
LOCATION,No Value,306,+13.34%,
IS_NEWS_AGENCY,1,50,+2.18%,
IS_NEWS_AGENCY,No Value,2244,+97.82%,
LANGUAGE_SENDER,En,2251,+98.13%,
LANGUAGE_SENDER,Und,1463,+63.78%,
LANGUAGE_SENDER,Ht,173,+7.54%,
LANGUAGE_SENDER,Tr,70,+3.05%,
LANGUAGE_SENDER,In,307,+13.38%,
LANGUAGE_SENDER,Cy,118,+5.14%,
LANGUAGE_SENDER,Es,516,+22.49%,
LANGUAGE_SENDER,Ca,120,+5.23%,
LANGUAGE_SENDER,Fr,470,+20.49%,
LANGUAGE_SENDER,Et,126,+5.49%,
LANGUAGE_SENDER,Pt,161,+7.02%,
LANGUAGE_SENDER,Nl,130,+5.67%,
LANGUAGE_SENDER,Tl,262,+11.42%,
LANGUAGE_SENDER,Da,169,+7.37%,
LANGUAGE_SENDER,Fi,49,+2.14%,
LANGUAGE_SENDER,Ro,146,+6.36%,
LANGUAGE_SENDER,De,231,+10.07%,
LANGUAGE_SENDER,Pl,140,+6.10%,
LANGUAGE_SENDER,Eu,51,+2.22%,
LANGUAGE_SENDER,Hi,42,+1.83%,
LANGUAGE_SENDER,It,161,+7.02%,
LANGUAGE_SENDER,No,101,+4.40%,
LANGUAGE_SENDER,Hu,28,+1.22%,
LANGUAGE_SENDER,Sv,107,+4.66%,
LANGUAGE_SENDER,Lv,20,+0.87%,
LANGUAGE_SENDER,Lt,26,+1.13%,
LANGUAGE_SENDER,Vi,10,+0.44%,
LANGUAGE_SENDER,Sl,10,+0.44%,
LANGUAGE_SENDER,Cs,26,+1.13%,
LANGUAGE_SENDER,Is,20,+0.87%,
LANGUAGE_SENDER,Ja,15,+0.65%,
LANGUAGE_SENDER,Ru,18,+0.78%,
LANGUAGE_SENDER,Zh,13,+0.57%,
LANGUAGE_SENDER,Fa,9,+0.39%,
LANGUAGE_SENDER,Ko,12,+0.52%,
LANGUAGE_SENDER,Ar,11,+0.48%,
LANGUAGE_SENDER,Ur,1,+0.04%,
LANGUAGE_SENDER,Uk,3,+0.13%,
LANGUAGE_SENDER,Iw,5,+0.22%,
LANGUAGE_SENDER,Ps,1,+0.04%,
LANGUAGE_SENDER,Km,2,+0.09%,
LANGUAGE_SENDER,My,1,+0.04%,
LANGUAGE_SENDER,El,1,+0.04%,
LANGUAGE_SENDER,Bn,1,+0.04%,
LANGUAGE_SENDER,No Value,33,+1.44%,
